
> ohmycong@0.1.0 dev
> next dev -p 3001 -p 3001

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.219.112:3001
- Environments: .env.development, .env
 GET / 200 in 30ms (compile: 2ms, render: 28ms)
 GET /api/auth/session 200 in 20ms (compile: 11ms, render: 9ms)
 GET /api/families 200 in 13ms (compile: 3ms, render: 9ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 40ms (compile: 19ms, render: 21ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 14ms (compile: 7ms, render: 7ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 11ms (compile: 4ms, render: 7ms)
✓ Compiled in 176ms
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 181ms (compile: 78ms, render: 104ms)
 GET /api/auth/session 200 in 35ms (compile: 20ms, render: 16ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 40ms (compile: 30ms, render: 10ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 18ms (compile: 3ms, render: 15ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 9ms (compile: 5ms, render: 5ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 7ms (compile: 1548µs, render: 5ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 18ms (compile: 4ms, render: 15ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 8ms (compile: 4ms, render: 4ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 30ms (compile: 3ms, render: 27ms)
 GET /api/auth/session 200 in 24ms (compile: 4ms, render: 20ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 11ms (compile: 5ms, render: 6ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 17ms (compile: 4ms, render: 14ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 9ms (compile: 4ms, render: 4ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 5ms (compile: 1690µs, render: 4ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 23ms (compile: 5ms, render: 18ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 10ms (compile: 4ms, render: 5ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 37ms (compile: 6ms, render: 31ms)
 GET /api/auth/session 200 in 28ms (compile: 6ms, render: 21ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 14ms (compile: 8ms, render: 7ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 16ms (compile: 1988µs, render: 15ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 11ms (compile: 6ms, render: 5ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 6ms (compile: 1857µs, render: 4ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 18ms (compile: 5ms, render: 13ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 9ms (compile: 4ms, render: 5ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 29ms (compile: 3ms, render: 26ms)
 GET /api/auth/session 200 in 48ms (compile: 11ms, render: 38ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 33ms (compile: 28ms, render: 5ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 21ms (compile: 1791µs, render: 19ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 9ms (compile: 5ms, render: 3ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 5ms (compile: 1581µs, render: 4ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 17ms (compile: 4ms, render: 13ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 11ms (compile: 5ms, render: 6ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 16ms (compile: 1873µs, render: 14ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 7ms (compile: 4ms, render: 3ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 5ms (compile: 1378µs, render: 4ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 22ms (compile: 6ms, render: 16ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 11ms (compile: 4ms, render: 7ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3/dashboard 200 in 104ms (compile: 77ms, render: 27ms)
 GET /api/tasks?status=TODO&familyId=cmm7b57gh0000760ro2hnm2k3 200 in 23ms (compile: 6ms, render: 17ms)
 GET /api/routines/today?memberId=cmlw4oybd000a4afdf1turpys 200 in 24ms (compile: 11ms, render: 13ms)
 GET /api/tasks?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 29ms (compile: 16ms, render: 13ms)
 GET /api/tasks?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 23ms (compile: 8ms, render: 15ms)
 GET /api/tasks?status=TODO&familyId=cmm7b57gh0000760ro2hnm2k3 200 in 16ms (compile: 6ms, render: 10ms)
 GET /api/routines/today?memberId=cmlw4oybd000a4afdf1turpys 200 in 14ms (compile: 8ms, render: 6ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 10ms (compile: 5ms, render: 5ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 32ms (compile: 4ms, render: 28ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 28ms (compile: 20ms, render: 8ms)
 GET /api/auth/session 200 in 33ms (compile: 7ms, render: 27ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 23ms (compile: 1783µs, render: 21ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 22ms (compile: 16ms, render: 6ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 7ms (compile: 3ms, render: 4ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 20ms (compile: 5ms, render: 14ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 13ms (compile: 6ms, render: 7ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 13ms (compile: 1481µs, render: 12ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 8ms (compile: 4ms, render: 4ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 6ms (compile: 2ms, render: 4ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 21ms (compile: 5ms, render: 16ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 10ms (compile: 6ms, render: 5ms)
 GET /family/cmm7b57gh0000760ro2hnm2k3 200 in 38ms (compile: 4ms, render: 35ms)
 GET /api/auth/session 200 in 72ms (compile: 15ms, render: 58ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 15ms (compile: 7ms, render: 8ms)
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 254ms (compile: 226ms, render: 28ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 12ms (compile: 6ms, render: 6ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 9ms (compile: 4ms, render: 5ms)
 PUT /api/members/cmlw4ocyp00084afdowck8cu2 200 in 11ms (compile: 4ms, render: 7ms)
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 9ms (compile: 3ms, render: 6ms)
✓ Compiled in 13ms
 GET /api/families/cmm7b57gh0000760ro2hnm2k3 200 in 31ms (compile: 9ms, render: 23ms)
✓ Compiled in 69ms
 GET /api/auth/session 500 in 520ms (compile: 376ms, render: 144ms)
 POST /api/auth/_log 500 in 14ms (compile: 8ms, render: 6ms)
✓ Compiled in 267ms
 GET /family/manage?familyId=cmm7b57gh0000760ro2hnm2k3 200 in 318ms (compile: 225ms, render: 94ms)
